Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Salary
Jarren Duran,27.0,BOS,AL,8.7,160.0,735.0,671.0,111.0,191.0,48.0,14.0,21.0,75.0,34.0,7.0,54.0,160.0,0.285,0.342,0.492,0.834,131.0,0.373,134.0,330.0,6.0,6.0,1.0,3.0,1.0,*87,"AS,MVP-8","$2,081,661 "
Shohei Ohtani,29.0,LAD,NL,9.2,159.0,731.0,636.0,134.0,197.0,38.0,7.0,54.0,130.0,59.0,4.0,81.0,162.0,0.31,0.39,0.646,1.036,189.0,0.449,190.0,411.0,7.0,6.0,0.0,5.0,10.0,*D,"AS,MVP-1,SS","$2,000,000 "
Gunnar Henderson,23.0,BAL,AL,9.1,159.0,719.0,630.0,118.0,177.0,31.0,7.0,37.0,92.0,21.0,4.0,78.0,159.0,0.281,0.364,0.529,0.893,158.0,0.385,157.0,333.0,2.0,7.0,0.0,4.0,1.0,*6/D,"AS,MVP-4","$2,763,378 "
Marcus Semien,33.0,TEX,AL,4.1,159.0,718.0,650.0,101.0,154.0,27.0,2.0,23.0,74.0,8.0,3.0,64.0,105.0,0.237,0.308,0.391,0.699,100.0,0.31,100.0,254.0,9.0,3.0,0.0,1.0,2.0,*4,AS,"$26,000,000 "
Juan Soto,25.0,NYY,AL,7.9,157.0,713.0,576.0,128.0,166.0,31.0,4.0,41.0,109.0,7.0,4.0,129.0,119.0,0.288,0.419,0.569,0.989,179.0,0.424,179.0,328.0,10.0,4.0,0.0,4.0,2.0,*9/7DH,"AS,MVP-3,SS","$31,000,000 "
Aaron Judge,32.0,NYY,AL,10.8,158.0,704.0,559.0,122.0,180.0,36.0,1.0,58.0,144.0,10.0,0.0,133.0,171.0,0.322,0.458,0.701,1.159,225.0,0.484,223.0,392.0,22.0,9.0,0.0,2.0,20.0,*8D/97,"AS,MVP-1,SS","$40,000,000 "
Vladimir Guerrero Jr.,25.0,TOR,AL,6.2,159.0,697.0,616.0,98.0,199.0,44.0,1.0,30.0,103.0,2.0,2.0,72.0,96.0,0.323,0.396,0.544,0.94,165.0,0.399,165.0,335.0,16.0,5.0,0.0,4.0,12.0,*3D5/H,"AS,MVP-6,SS","$19,900,000 "
Pete Alonso,29.0,NYM,NL,2.6,162.0,695.0,608.0,91.0,146.0,31.0,0.0,34.0,88.0,3.0,0.0,70.0,172.0,0.24,0.329,0.459,0.788,124.0,0.341,122.0,279.0,14.0,13.0,0.0,4.0,4.0,*3/DH,AS,"$20,500,000 "
Ezequiel Tovar,22.0,COL,NL,3.8,157.0,695.0,655.0,83.0,176.0,45.0,4.0,26.0,78.0,6.0,5.0,23.0,200.0,0.269,0.295,0.469,0.763,102.0,0.325,99.0,307.0,16.0,4.0,5.0,7.0,1.0,*6,"MVP-19,GG","$3,485,706 "
Kyle Schwarber,31.0,PHI,NL,3.5,150.0,692.0,573.0,110.0,142.0,22.0,0.0,38.0,104.0,5.0,3.0,106.0,197.0,0.248,0.366,0.485,0.851,136.0,0.367,137.0,278.0,6.0,5.0,0.0,8.0,4.0,*D/7H,MVP-15,"$20,000,000 "
Anthony Volpe,23.0,NYY,AL,3.4,160.0,689.0,637.0,90.0,155.0,27.0,7.0,12.0,60.0,28.0,7.0,42.0,156.0,0.243,0.293,0.364,0.657,86.0,0.296,84.0,232.0,9.0,4.0,2.0,3.0,1.0,*6/H,,"$1,228,964 "
Willy Adames,28.0,MIL,NL,3.1,161.0,688.0,610.0,93.0,153.0,33.0,0.0,32.0,112.0,21.0,4.0,74.0,173.0,0.251,0.331,0.462,0.794,119.0,0.348,117.0,282.0,12.0,1.0,0.0,3.0,3.0,*6,MVP-10,"$12,250,000 "
Marcell Ozuna,33.0,ATL,NL,4.3,162.0,688.0,606.0,96.0,183.0,31.0,0.0,39.0,104.0,1.0,0.0,74.0,170.0,0.302,0.378,0.546,0.925,153.0,0.394,154.0,331.0,23.0,3.0,0.0,4.0,2.0,*D,"AS,MVP-4","$16,000,000 "
Matt Olson,30.0,ATL,NL,3.8,162.0,685.0,600.0,78.0,148.0,37.0,1.0,29.0,98.0,0.0,0.0,71.0,170.0,0.247,0.333,0.457,0.79,117.0,0.342,117.0,274.0,15.0,9.0,0.0,5.0,5.0,*3,,"$22,000,000 "
Corbin Carroll,23.0,ARI,NL,3.4,158.0,684.0,589.0,121.0,136.0,22.0,14.0,22.0,74.0,35.0,8.0,73.0,130.0,0.231,0.322,0.428,0.749,107.0,0.333,106.0,252.0,3.0,10.0,3.0,9.0,0.0,*89/H,,"$3,535,533 "
Jose Altuve,34.0,HOU,AL,3.4,153.0,682.0,628.0,94.0,185.0,31.0,0.0,20.0,65.0,22.0,7.0,47.0,119.0,0.295,0.35,0.439,0.79,124.0,0.348,126.0,276.0,15.0,7.0,0.0,0.0,2.0,*4/DH,"AS,MVP-15,SS","$41,000,000 "
William Contreras,26.0,MIL,NL,4.9,155.0,679.0,595.0,99.0,167.0,37.0,2.0,23.0,92.0,9.0,2.0,78.0,139.0,0.281,0.365,0.466,0.831,130.0,0.361,129.0,277.0,19.0,3.0,0.0,3.0,5.0,*2D/H,"AS,MVP-5,SS","$2,489,074 "
Gleyber Torres,27.0,NYY,AL,1.8,154.0,665.0,587.0,80.0,151.0,26.0,0.0,15.0,63.0,4.0,3.0,65.0,136.0,0.257,0.33,0.378,0.709,102.0,0.318,103.0,222.0,6.0,3.0,2.0,8.0,0.0,*4/H,,"$14,200,000 "
Brandon Nimmo,31.0,NYM,NL,2.2,151.0,663.0,571.0,88.0,128.0,25.0,3.0,23.0,90.0,15.0,0.0,77.0,158.0,0.224,0.327,0.399,0.727,108.0,0.331,111.0,228.0,7.0,12.0,0.0,3.0,1.0,*78/DH,,"$20,250,000 "
Taylor Ward,30.0,LAA,AL,2.3,156.0,663.0,585.0,73.0,144.0,26.0,2.0,25.0,75.0,6.0,4.0,63.0,163.0,0.246,0.323,0.426,0.748,110.0,0.329,111.0,249.0,11.0,7.0,0.0,8.0,0.0,*7D,,"$4,800,000 "
Nick Castellanos,32.0,PHI,NL,0.8,162.0,659.0,606.0,80.0,154.0,30.0,4.0,23.0,86.0,6.0,2.0,41.0,139.0,0.254,0.311,0.431,0.742,105.0,0.327,108.0,261.0,14.0,10.0,0.0,2.0,2.0,*9/D,,"$20,000,000 "
Spencer Steer,26.0,CIN,NL,1.5,158.0,656.0,574.0,74.0,129.0,34.0,4.0,20.0,92.0,25.0,3.0,72.0,137.0,0.225,0.319,0.402,0.721,97.0,0.331,99.0,231.0,5.0,8.0,0.0,2.0,1.0,73/4D9H6,,"$750,000 "
Paul Goldschmidt,36.0,STL,NL,1.3,154.0,654.0,599.0,70.0,147.0,33.0,1.0,22.0,65.0,11.0,0.0,47.0,173.0,0.245,0.302,0.414,0.716,98.0,0.326,104.0,248.0,20.0,2.0,0.0,2.0,2.0,*3/DH,,"$26,000,000 "
Brendan Donovan,27.0,STL,NL,2.6,153.0,652.0,587.0,65.0,163.0,34.0,3.0,14.0,73.0,5.0,5.0,47.0,81.0,0.278,0.342,0.417,0.759,112.0,0.332,112.0,245.0,4.0,13.0,0.0,5.0,0.0,74/5DH9,,"$1,181,922 "
Randy Arozarena,29.0,SEA,AL,1.0,54.0,239.0,199.0,32.0,46.0,14.0,0.0,5.0,23.0,4.0,3.0,28.0,68.0,0.231,0.356,0.377,0.733,118.0,0.334,127.0,75.0,4.0,11.0,0.0,1.0,0.0,7/8D,,"$2,830,620 "
Ryan McMahon,29.0,COL,NL,2.5,153.0,645.0,567.0,68.0,137.0,28.0,0.0,20.0,65.0,4.0,6.0,69.0,185.0,0.242,0.325,0.397,0.722,94.0,0.311,90.0,225.0,9.0,3.0,0.0,4.0,4.0,*5/DH,AS,"$12,000,000 "
Nico Hoerner,27.0,CHC,NL,3.7,151.0,641.0,582.0,86.0,159.0,35.0,1.0,7.0,48.0,31.0,6.0,44.0,66.0,0.273,0.335,0.373,0.708,100.0,0.327,105.0,217.0,8.0,12.0,0.0,3.0,1.0,*46/H,,"$11,500,000 "
Isaac Paredes,25.0,CHC,NL,0.4,52.0,212.0,179.0,23.0,40.0,6.0,0.0,3.0,25.0,1.0,0.0,24.0,37.0,0.223,0.325,0.307,0.633,81.0,0.294,86.0,55.0,4.0,5.0,0.0,4.0,0.0,5/H,,"$1,169,892 "
Freddie Freeman,34.0,LAD,NL,4.7,147.0,638.0,542.0,81.0,153.0,35.0,2.0,22.0,89.0,9.0,2.0,78.0,100.0,0.282,0.378,0.476,0.854,142.0,0.37,142.0,258.0,13.0,10.0,0.0,8.0,9.0,*3,"AS,MVP-17","$20,000,000 "
Adolis García,31.0,TEX,AL,0.3,154.0,637.0,580.0,68.0,130.0,27.0,0.0,25.0,85.0,11.0,5.0,45.0,177.0,0.224,0.284,0.4,0.684,95.0,0.302,94.0,232.0,12.0,6.0,0.0,6.0,2.0,*9D/H,,"$4,750,000 "
Jonathan India,27.0,CIN,NL,1.7,151.0,637.0,533.0,84.0,132.0,28.0,2.0,15.0,58.0,13.0,2.0,80.0,125.0,0.248,0.357,0.392,0.75,106.0,0.34,108.0,209.0,16.0,15.0,2.0,7.0,0.0,*4D/H,,"$3,800,000 "
Masyn Winn,22.0,STL,NL,4.9,150.0,637.0,587.0,85.0,157.0,32.0,5.0,15.0,57.0,11.0,5.0,41.0,109.0,0.267,0.314,0.416,0.73,102.0,0.317,100.0,244.0,1.0,1.0,3.0,5.0,1.0,*6/HD,,"$1,202,146 "
Yordan Alvarez,27.0,HOU,AL,5.4,147.0,635.0,552.0,88.0,170.0,34.0,2.0,35.0,86.0,6.0,0.0,69.0,95.0,0.308,0.392,0.567,0.959,170.0,0.406,169.0,313.0,14.0,10.0,0.0,4.0,16.0,D7,"AS,MVP-9","$10,000,000 "
Nolan Arenado,33.0,STL,NL,2.5,152.0,635.0,578.0,70.0,157.0,23.0,0.0,16.0,71.0,2.0,2.0,44.0,92.0,0.272,0.325,0.394,0.719,101.0,0.315,99.0,228.0,15.0,5.0,0.0,7.0,2.0,*5/DH,,"$24,000,000 "
Alex Bregman,30.0,HOU,AL,4.1,145.0,634.0,581.0,79.0,151.0,30.0,2.0,26.0,75.0,3.0,1.0,44.0,86.0,0.26,0.315,0.453,0.768,116.0,0.334,117.0,263.0,13.0,5.0,0.0,4.0,1.0,*5/D,GG,"$28,500,000 "
Josh Naylor,27.0,CLE,AL,1.5,152.0,633.0,563.0,84.0,137.0,27.0,0.0,31.0,108.0,6.0,2.0,58.0,105.0,0.243,0.32,0.456,0.776,119.0,0.336,117.0,257.0,17.0,7.0,0.0,4.0,7.0,*3D/H,AS,"$6,500,000 "
Bryce Harper,31.0,PHI,NL,4.8,145.0,631.0,550.0,85.0,157.0,42.0,0.0,30.0,87.0,7.0,4.0,76.0,138.0,0.285,0.373,0.525,0.898,148.0,0.381,148.0,289.0,18.0,2.0,1.0,2.0,11.0,*3/D,"AS,MVP-6,SS","$26,100,000 "
Bryan De La Cruz,27.0,PIT,NL,-1.2,44.0,168.0,160.0,17.0,32.0,6.0,0.0,3.0,17.0,2.0,1.0,4.0,52.0,0.2,0.22,0.294,0.514,42.0,0.238,42.0,47.0,2.0,1.0,0.0,3.0,0.0,9/7H,,"$247,740 "
Alex Verdugo,28.0,NYY,AL,0.8,149.0,621.0,559.0,74.0,130.0,28.0,1.0,13.0,61.0,2.0,1.0,49.0,93.0,0.233,0.291,0.356,0.647,84.0,0.288,81.0,199.0,14.0,1.0,2.0,10.0,0.0,*79/8,,"$9,200,000 "
Yainer Diaz,25.0,HOU,AL,3.3,148.0,619.0,585.0,70.0,175.0,29.0,3.0,16.0,84.0,2.0,0.0,24.0,107.0,0.299,0.325,0.441,0.766,116.0,0.339,120.0,258.0,22.0,2.0,0.0,8.0,1.0,2D3/H,,"$768,900 "
Yainer Diaz,25.0,HOU,AL,3.3,148.0,619.0,585.0,70.0,175.0,29.0,3.0,16.0,84.0,2.0,0.0,24.0,107.0,0.299,0.325,0.441,0.766,116.0,0.339,120.0,258.0,22.0,2.0,0.0,8.0,1.0,2D3/H,,"$341,542 "
Brice Turang,24.0,MIL,NL,4.7,155.0,619.0,559.0,72.0,142.0,24.0,4.0,7.0,57.0,50.0,6.0,50.0,105.0,0.254,0.316,0.349,0.665,86.0,0.313,85.0,195.0,8.0,2.0,5.0,3.0,1.0,*4H/D,GG,"$1,116,214 "
Andrew Vaughn,26.0,CHW,AL,0.2,149.0,619.0,570.0,55.0,140.0,30.0,1.0,19.0,70.0,2.0,0.0,38.0,132.0,0.246,0.297,0.402,0.699,99.0,0.305,96.0,229.0,13.0,6.0,0.0,5.0,0.0,*3D/H,,"$3,250,000 "
Brent Rooker,29.0,OAK,AL,5.6,145.0,614.0,546.0,82.0,160.0,26.0,2.0,39.0,112.0,11.0,3.0,59.0,177.0,0.293,0.365,0.562,0.927,165.0,0.399,166.0,307.0,5.0,5.0,0.0,4.0,4.0,*D/79H,"MVP-10,SS","$1,437,804 "
George Springer,34.0,TOR,AL,1.1,145.0,614.0,545.0,74.0,120.0,19.0,3.0,19.0,56.0,16.0,1.0,60.0,115.0,0.22,0.303,0.371,0.674,91.0,0.312,97.0,202.0,16.0,6.0,0.0,2.0,0.0,*9D/H8,,"$22,500,000 "
Nolan Schanuel,22.0,LAA,AL,1.3,147.0,607.0,519.0,62.0,130.0,19.0,0.0,13.0,54.0,10.0,1.0,68.0,103.0,0.25,0.343,0.362,0.706,100.0,0.321,103.0,188.0,14.0,9.0,3.0,7.0,0.0,*3/HD,,"$750,000 "
Alec Bohm,27.0,PHI,NL,3.0,143.0,606.0,554.0,62.0,155.0,44.0,2.0,15.0,97.0,5.0,2.0,40.0,86.0,0.28,0.332,0.448,0.779,116.0,0.34,117.0,248.0,18.0,6.0,0.0,6.0,2.0,*53/DH,AS,"$4,000,000 "
Brenton Doyle,26.0,COL,NL,4.0,149.0,603.0,542.0,82.0,141.0,24.0,4.0,23.0,72.0,30.0,5.0,46.0,153.0,0.26,0.317,0.446,0.764,104.0,0.338,102.0,242.0,13.0,3.0,4.0,8.0,1.0,*8/DH,GG,"$1,226,750 "
Orlando Arcia,29.0,ATL,NL,0.5,157.0,602.0,551.0,50.0,120.0,24.0,0.0,17.0,46.0,2.0,0.0,41.0,128.0,0.218,0.271,0.354,0.625,72.0,0.278,70.0,195.0,16.0,2.0,1.0,7.0,1.0,*6,,"$2,000,000 "
Zach Neto,23.0,LAA,AL,5.1,155.0,602.0,542.0,70.0,135.0,34.0,1.0,23.0,77.0,30.0,10.0,39.0,140.0,0.249,0.318,0.443,0.761,112.0,0.334,112.0,240.0,14.0,16.0,4.0,1.0,1.0,*6/H,,"$1,192,551 "
Rafael Devers,27.0,BOS,AL,3.7,138.0,601.0,525.0,87.0,143.0,34.0,5.0,28.0,83.0,3.0,0.0,67.0,147.0,0.272,0.354,0.516,0.871,141.0,0.368,134.0,271.0,13.0,3.0,0.0,6.0,14.0,*5/D,"AS,MVP-13","$25,000,000 "
Oneil Cruz,25.0,PIT,NL,2.5,146.0,599.0,541.0,72.0,140.0,34.0,3.0,21.0,76.0,22.0,1.0,51.0,181.0,0.259,0.324,0.449,0.773,113.0,0.34,110.0,243.0,8.0,3.0,0.0,4.0,5.0,*68H/D,,"$1,238,928 "
Alec Burleson,25.0,STL,NL,1.2,152.0,595.0,547.0,71.0,147.0,20.0,0.0,21.0,78.0,9.0,4.0,35.0,76.0,0.269,0.314,0.42,0.735,104.0,0.325,105.0,230.0,8.0,4.0,1.0,6.0,0.0,D97H3,,"$750,050 "
Dansby Swanson,30.0,CHC,NL,3.9,149.0,593.0,534.0,82.0,129.0,27.0,2.0,16.0,66.0,19.0,3.0,54.0,144.0,0.242,0.312,0.39,0.701,97.0,0.313,96.0,208.0,7.0,2.0,0.0,3.0,2.0,*6/H,,"$25,000,000 "
Seiya Suzuki,29.0,CHC,NL,3.5,132.0,585.0,512.0,74.0,145.0,27.0,6.0,21.0,73.0,16.0,6.0,63.0,160.0,0.283,0.366,0.482,0.848,137.0,0.364,136.0,247.0,6.0,6.0,0.0,4.0,3.0,9D/7H,,"$20,000,000 "
Riley Greene,23.0,DET,AL,5.4,137.0,584.0,512.0,82.0,134.0,27.0,6.0,24.0,74.0,4.0,2.0,64.0,156.0,0.262,0.348,0.479,0.827,134.0,0.358,133.0,245.0,2.0,5.0,0.0,2.0,3.0,7D8/9H,AS,"$1,284,146 "
Jake Burger,28.0,MIA,NL,0.5,137.0,579.0,535.0,68.0,134.0,23.0,1.0,29.0,76.0,1.0,1.0,31.0,150.0,0.25,0.301,0.46,0.76,105.0,0.327,100.0,246.0,11.0,9.0,0.0,4.0,2.0,35D/H,,"$760,000 "
Jorge Soler,32.0,ATL,NL,0.1,49.0,182.0,152.0,27.0,37.0,11.0,0.0,9.0,24.0,0.0,0.0,24.0,44.0,0.243,0.356,0.493,0.849,133.0,0.364,133.0,75.0,0.0,3.0,0.0,1.0,0.0,9/7H,,"$2,295,674 "
Jackson Chourio,20.0,MIL,NL,3.8,148.0,573.0,528.0,80.0,145.0,29.0,4.0,21.0,79.0,22.0,7.0,39.0,121.0,0.275,0.327,0.464,0.791,118.0,0.344,115.0,245.0,7.0,3.0,1.0,2.0,4.0,*79/HD,"MVP-22,ROY-3","$4,901,335 "
Ceddanne Rafaela,23.0,BOS,AL,2.8,152.0,571.0,544.0,70.0,134.0,23.0,5.0,15.0,75.0,19.0,10.0,15.0,151.0,0.246,0.274,0.39,0.664,84.0,0.299,85.0,212.0,8.0,7.0,2.0,3.0,1.0,864/5H9,,"$3,000,000 "
Bryson Stott,26.0,PHI,NL,2.5,148.0,571.0,506.0,65.0,124.0,19.0,2.0,11.0,57.0,32.0,3.0,53.0,93.0,0.245,0.315,0.356,0.671,88.0,0.309,87.0,180.0,9.0,3.0,0.0,9.0,1.0,*46H/D,,"$1,019,338 "
Cody Bellinger,28.0,CHC,NL,2.2,130.0,569.0,516.0,72.0,137.0,23.0,3.0,18.0,78.0,9.0,2.0,45.0,89.0,0.266,0.325,0.426,0.751,110.0,0.326,108.0,220.0,10.0,3.0,0.0,5.0,7.0,98D3/7,,"$27,500,000 "
Michael Busch,26.0,CHC,NL,2.8,152.0,567.0,496.0,73.0,123.0,28.0,2.0,21.0,65.0,2.0,1.0,63.0,162.0,0.248,0.335,0.44,0.775,117.0,0.338,118.0,218.0,9.0,4.0,0.0,4.0,1.0,*3H/4D5,,"$1,067,223 "
Matt Vierling,27.0,DET,AL,3.0,144.0,567.0,518.0,80.0,133.0,28.0,5.0,16.0,57.0,6.0,1.0,41.0,121.0,0.257,0.312,0.423,0.735,108.0,0.323,106.0,219.0,9.0,3.0,0.0,5.0,1.0,859H7/D3,,"$1,093,719 "
Colton Cowser,24.0,BAL,AL,3.1,153.0,561.0,499.0,77.0,121.0,24.0,3.0,24.0,69.0,9.0,4.0,52.0,172.0,0.242,0.321,0.447,0.768,122.0,0.329,119.0,223.0,9.0,7.0,0.0,3.0,2.0,*789H/D,ROY-2,"$1,721,471 "
Wyatt Langford,22.0,TEX,AL,3.9,134.0,557.0,499.0,74.0,126.0,25.0,4.0,16.0,74.0,19.0,3.0,51.0,115.0,0.253,0.325,0.415,0.74,112.0,0.329,110.0,207.0,6.0,4.0,0.0,3.0,3.0,*7D8,ROY-7,"$1,108,844 "
Colt Keith,22.0,DET,AL,1.1,148.0,556.0,516.0,54.0,134.0,15.0,4.0,13.0,61.0,7.0,1.0,36.0,110.0,0.26,0.309,0.38,0.689,96.0,0.308,95.0,196.0,4.0,2.0,0.0,2.0,2.0,*4DH,,"$4,742,569 "
Lourdes Gurriel Jr.,30.0,ARI,NL,2.0,133.0,553.0,513.0,72.0,143.0,22.0,2.0,18.0,75.0,7.0,1.0,29.0,101.0,0.279,0.322,0.435,0.757,109.0,0.329,106.0,223.0,16.0,6.0,0.0,5.0,1.0,*7H/D3,,"$10,000,000 "
Christian Walker,33.0,ARI,NL,2.6,130.0,552.0,479.0,72.0,120.0,26.0,0.0,26.0,84.0,2.0,2.0,55.0,133.0,0.251,0.335,0.468,0.803,121.0,0.34,116.0,224.0,12.0,10.0,0.0,8.0,4.0,*3/H,GG,"$10,900,000 "
Zack Gelof,24.0,OAK,AL,1.4,138.0,547.0,497.0,60.0,105.0,20.0,2.0,17.0,49.0,25.0,3.0,38.0,188.0,0.211,0.27,0.362,0.632,82.0,0.286,80.0,180.0,7.0,4.0,3.0,5.0,0.0,*4/H,,"$740,000 "
Will Smith,29.0,LAD,NL,3.5,128.0,544.0,476.0,77.0,118.0,24.0,2.0,20.0,75.0,1.0,1.0,51.0,105.0,0.248,0.327,0.433,0.76,115.0,0.327,112.0,206.0,8.0,9.0,0.0,8.0,6.0,*2/HD,AS,"$38,550,000 "
Steven Kwan,26.0,CLE,AL,4.0,122.0,540.0,480.0,83.0,140.0,16.0,3.0,14.0,44.0,12.0,5.0,53.0,51.0,0.292,0.368,0.425,0.793,127.0,0.352,128.0,204.0,5.0,5.0,2.0,0.0,0.0,*7/DH,"AS,GG","$1,313,153 "
Brendan Rodgers,27.0,COL,NL,1.1,135.0,539.0,501.0,67.0,134.0,29.0,1.0,13.0,54.0,1.0,0.0,31.0,132.0,0.267,0.314,0.407,0.721,93.0,0.317,92.0,204.0,12.0,4.0,1.0,2.0,1.0,*4/DH,,"$3,200,000 "
Trea Turner,31.0,PHI,NL,3.0,121.0,539.0,505.0,88.0,149.0,25.0,0.0,21.0,62.0,19.0,4.0,27.0,98.0,0.295,0.338,0.469,0.807,123.0,0.358,127.0,237.0,10.0,6.0,0.0,1.0,0.0,*6/D,AS,"$27,322,727 "
Justin Turner,39.0,SEA,AL,1.2,48.0,190.0,159.0,22.0,42.0,7.0,0.0,5.0,24.0,0.0,0.0,20.0,35.0,0.264,0.363,0.403,0.766,128.0,0.341,130.0,64.0,1.0,7.0,0.0,4.0,2.0,3D/H5,,"$2,903,226 "
Jesús Sánchez,26.0,MIA,NL,0.7,149.0,537.0,489.0,60.0,123.0,25.0,1.0,18.0,64.0,16.0,2.0,41.0,140.0,0.252,0.313,0.417,0.731,99.0,0.326,96.0,204.0,12.0,4.0,1.0,2.0,2.0,*9HD7,,"$2,100,000 "
Ty France,29.0,CIN,NL,-0.4,52.0,195.0,179.0,18.0,45.0,10.0,0.0,5.0,20.0,1.0,0.0,10.0,31.0,0.251,0.292,0.391,0.683,86.0,0.302,83.0,70.0,5.0,2.0,0.0,4.0,0.0,3/DH,,"$1,000,000 "
Shea Langeliers,26.0,OAK,AL,2.9,137.0,534.0,482.0,58.0,108.0,18.0,2.0,29.0,80.0,4.0,2.0,41.0,145.0,0.224,0.288,0.45,0.739,111.0,0.321,111.0,217.0,15.0,5.0,0.0,6.0,2.0,*2/HD,,"$1,000,500 "
Corey Seager,30.0,TEX,AL,5.0,123.0,533.0,475.0,68.0,132.0,21.0,0.0,30.0,74.0,1.0,1.0,53.0,96.0,0.278,0.353,0.512,0.864,146.0,0.363,139.0,243.0,8.0,3.0,0.0,2.0,11.0,*6D/H,"AS,MVP-15","$34,500,000 "
Lane Thomas,28.0,CLE,AL,-0.2,53.0,187.0,172.0,23.0,36.0,10.0,0.0,7.0,23.0,4.0,2.0,12.0,65.0,0.209,0.267,0.39,0.657,85.0,0.28,76.0,67.0,1.0,2.0,0.0,1.0,1.0,89/HD,,"$1,816,662 "
Sal Frelick,24.0,MIL,NL,2.1,145.0,524.0,475.0,66.0,123.0,22.0,4.0,2.0,32.0,18.0,3.0,39.0,78.0,0.259,0.32,0.335,0.655,84.0,0.303,84.0,159.0,8.0,4.0,2.0,1.0,0.0,*987H/5D,GG,"$979,049 "
Andrew Benintendi,29.0,CHW,AL,-0.8,135.0,522.0,477.0,50.0,109.0,20.0,0.0,20.0,64.0,3.0,2.0,41.0,96.0,0.229,0.289,0.396,0.685,95.0,0.299,92.0,189.0,12.0,1.0,0.0,3.0,1.0,*7H/D8,,"$16,500,000 "
Logan O'Hoppe,24.0,LAA,AL,2.7,136.0,522.0,479.0,64.0,117.0,17.0,1.0,20.0,56.0,2.0,3.0,33.0,155.0,0.244,0.303,0.409,0.712,99.0,0.315,102.0,196.0,7.0,8.0,1.0,1.0,0.0,*2/HD,,"$1,023,114 "
